DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
22-May-20,EQ,675,695.85,673.5,672.2,692,692.35,688.38,847,509.25,11867864,"8,16,96,29,532.35",201776
21-May-20,EQ,666.5,679.45,665.4,669.55,673,672.2,672.37,847,509.25,7214401,"4,85,07,80,460.30",122009
20-May-20,EQ,668.5,673,659.65,668.6,666,669.55,666.46,847,509.25,5795193,"3,86,22,48,243.90",104746
19-May-20,EQ,664,674.8,655,663.9,670,668.6,668.12,847,509.25,5902238,"3,94,33,78,544.20",121850
18-May-20,EQ,659.85,670.55,653,652.3,659.6,663.9,663.53,847,509.25,10435495,"6,92,42,80,885.05",160262
15-May-20,EQ,664.8,664.8,646.7,658.15,652.3,652.3,652.46,847,509.25,9255353,"6,03,87,57,599.40",159733
14-May-20,EQ,659,671.75,652.6,694.15,658.2,658.15,662.77,847,509.25,16888356,"11,19,31,13,875.85",284577
13-May-20,EQ,694.8,699.9,683.75,687.65,693.75,694.15,693.94,847,509.25,8287106,"5,75,07,58,216.45",156513
12-May-20,EQ,678.5,691,675.5,682.9,687,687.65,684.84,847,509.25,7356063,"5,03,77,15,533.35",165655
11-May-20,EQ,682.5,698.55,678,674.2,683.75,682.9,688.95,847,509.25,7370192,"5,07,76,73,283.60",157658
08-May-20,EQ,672.25,680.9,668.5,664.95,676,674.2,674.96,847,509.25,8400376,"5,66,99,37,480.30",206669
07-May-20,EQ,665.55,674.35,662.45,665.9,666.7,664.95,668.79,847,509.25,4779550,"3,19,64,99,216.80",93851
06-May-20,EQ,676.9,681.45,664.05,673.7,667,665.9,671.02,847,509.25,7934457,"5,32,41,57,713.35",211094
05-May-20,EQ,681.75,685.6,670,673.7,674.5,673.7,679.28,847,509.25,6393108,"4,34,27,30,627.00",132076
04-May-20,EQ,689.8,701.2,670.35,715.5,675.15,673.7,686.15,847,509.25,9122803,"6,25,95,91,492.80",177978
30-Apr-20,EQ,700,720,698.1,676.55,715.05,715.5,711.47,847,509.25,16254036,"11,56,42,26,725.75",277142
29-Apr-20,EQ,666,682,658,660.7,678,676.55,671.94,847,509.25,8639246,"5,80,50,84,866.05",175742
28-Apr-20,EQ,673,677,653.05,664.6,664.05,660.7,659.88,847,509.25,7296594,"4,81,48,74,278.60",128788
27-Apr-20,EQ,661.05,681,661.05,658,665.1,664.6,670.63,847,509.25,7183316,"4,81,73,70,467.65",143869
24-Apr-20,EQ,668.55,675,654.8,679.3,660.95,658,662.5,847,509.25,7319950,"4,84,94,70,612.45",162251
23-Apr-20,EQ,647.05,683.65,638.1,641.85,675,679.3,665.09,847,509.25,14451294,"9,61,14,40,870.60",225884
22-Apr-20,EQ,633.2,645,628.05,633.2,641.5,641.85,639.85,847,509.25,8267159,"5,28,97,59,466.35",148917
21-Apr-20,EQ,627.8,646.5,627.8,653.3,633,633.2,638.34,847,509.25,11660678,"7,44,35,24,923.00",195803
20-Apr-20,EQ,640,661,639,628.75,650.95,653.3,653.71,847,509.25,13322995,"8,70,93,44,590.30",220363
17-Apr-20,EQ,644,646,626,623.85,634.2,628.75,633.5,847,509.25,8878372,"5,62,44,22,628.20",220448
16-Apr-20,EQ,619.95,634.9,603.5,639.05,626.9,623.85,620.5,847,509.25,17783310,"11,03,45,08,894.50",254606
15-Apr-20,EQ,651.4,653.3,635.6,637.4,640,639.05,645.85,847,509.25,11963493,"7,72,66,57,236.85",278339
13-Apr-20,EQ,629,651.7,626.05,636.25,637,637.4,641.21,847,509.25,8330291,"5,34,14,25,789.00",232090
09-Apr-20,EQ,646.8,652.8,632.1,631.6,635.6,636.25,640.28,847,509.25,11931287,"7,63,93,38,597.25",232901
08-Apr-20,EQ,630,655.65,626.35,639,632.25,631.6,637.44,847,509.25,11806901,"7,52,61,62,135.55",235881
07-Apr-20,EQ,615,644.25,612.9,585.7,633.8,639,627.65,847,509.25,15146526,"9,50,67,14,566.30",260480
03-Apr-20,EQ,603.5,606,582.15,602.8,588.5,585.7,592.53,847,509.25,10221890,"6,05,67,25,607.95",261228
01-Apr-20,EQ,634.35,637.5,594,641.5,603.9,602.8,611.89,847,509.25,13083865,"8,00,58,88,360.85",379235
