Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-June-2023,3236.00,3247.00,3209.00,3217.45,3219.927971457937079872,169294,12909,545114486.00,78694,46.48,38.00,-18.55
22-June-2023,3265.95,3267.00,3231.85,3238.85,3247.863064812323815984,85493,7324,277669557.00,59475,69.57,35.15,-27.10
21-June-2023,3240.05,3261.00,3224.50,3257.45,3245.097488452655889145,34640,2372,112410177.00,18737,54.09,36.50,17.40
20-June-2023,3214.00,3232.00,3201.60,3227.20,3222.178667198144658646,55192,3009,177838485.00,40908,74.12,30.40,13.20
19-June-2023,3175.30,3215.00,3173.00,3209.65,3193.695867000600627826,88241,12117,281814917.00,57630,65.31,42.00,34.35
16-June-2023,3203.95,3203.95,3156.20,3175.25,3175.484852290000660894,151310,12201,480482613.00,117575,77.70,47.75,-28.70
15-June-2023,3240.05,3245.45,3211.00,3216.25,3228.559025665292142680,133137,13562,429840663.00,101861,76.51,34.45,-23.80
14-June-2023,3241.05,3255.75,3226.00,3251.75,3246.853465198296513175,120224,7500,390349711.00,87024,72.38,29.75,10.70
13-June-2023,3256.00,3265.00,3240.60,3243.80,3251.959282658887119002,111746,9983,363393442.00,82383,73.72,24.40,-12.20
12-June-2023,3210.05,3254.30,3210.05,3248.55,3239.450171171738810828,95226,8501,308479882.00,50828,53.38,44.25,38.50
9-June-2023,3245.05,3249.95,3207.00,3210.45,3219.260083944977486160,137471,7523,442554903.00,116496,84.74,42.95,-34.60
8-June-2023,3269.95,3270.00,3233.10,3236.15,3245.210533810081321393,63206,6592,205116777.00,49635,78.53,36.90,-33.80
7-June-2023,3237.05,3278.80,3237.05,3274.60,3261.469418820869945673,109708,8187,357809287.00,70404,64.17,41.75,37.55
6-June-2023,3289.00,3289.00,3221.40,3234.15,3234.635956459908826304,150482,22300,486754488.00,116613,77.49,67.60,-54.85
5-June-2023,3313.00,3325.85,3285.00,3289.60,3299.023006788422756838,35207,3679,116148703.00,21127,60.01,40.85,-23.40
2-June-2023,3316.20,3336.75,3296.60,3304.40,3311.682008733624454148,22900,2616,75837518.00,8661,37.82,40.15,-11.80
1-June-2023,3310.00,3339.80,3295.00,3323.30,3326.627486898485162235,62779,8547,208842347.00,38590,61.47,44.80,13.30
31-May-2023,3314.80,3327.55,3271.00,3291.00,3302.582201206817460037,28339,3825,93591877.00,11941,42.14,56.55,-23.80
30-May-2023,3317.00,3326.30,3302.00,3314.80,3311.641012797715945803,39929,2902,132230514.00,10461,26.20,24.30,-2.20
29-May-2023,3355.00,3372.95,3312.85,3319.45,3337.149365185966932105,62538,8862,208698647.00,34107,54.54,60.10,-35.55
26-May-2023,3288.05,3339.00,3288.05,3329.00,3315.185530118136763142,66787,8296,221411296.00,46623,69.81,50.95,40.95
25-May-2023,3290.00,3305.65,3267.85,3294.75,3286.071487317827417179,30397,4190,99886715.00,17013,55.97,37.80,4.75
24-May-2023,3268.00,3317.35,3268.00,3301.05,3301.523733616719801629,11292,1757,37280806.00,6134,54.32,49.35,33.05
23-May-2023,3308.00,3328.95,3290.45,3295.70,3312.217056622143791645,32867,4121,108862638.00,13929,42.38,38.50,-12.30
22-May-2023,3222.85,3308.00,3218.15,3297.95,3265.417772724869123790,37822,4470,123504631.00,19827,52.42,89.85,75.10
19-May-2023,3204.00,3233.95,3202.10,3221.75,3219.886036269430051813,38600,5784,124287601.00,20257,52.48,31.85,17.75
18-May-2023,3215.05,3225.85,3196.00,3199.95,3202.400905982905982905,58500,9016,187340453.00,42235,72.20,29.85,-15.10
17-May-2023,3251.00,3272.45,3198.65,3209.10,3217.946922037373596160,21459,3153,69053923.00,10563,49.22,73.80,-41.90
16-May-2023,3262.00,3283.90,3250.75,3257.00,3267.161951803622212243,20043,2159,65483727.00,5449,27.19,33.15,-5.00
15-May-2023,3280.50,3292.75,3249.15,3253.15,3273.713991769547325102,20898,2506,68414075.00,10507,50.28,43.60,-27.35
12-May-2023,3281.50,3290.00,3259.35,3273.75,3273.840033326390335346,19204,2402,62870824.00,6402,33.34,30.65,-7.75
